latitude,longitude,postal_code,address,closest_mrt,closest_mrt_dist,cbd_dist,month,town,flat_type,block,street_name,storey_range,floor_area_sqm,flat_model,lease_commence_date,resale_price,year,years_remaining,remaining_lease
1.31744387800501,103.886373732265,381125.0,125 GEYLANG EAST AVE 1,Aljunied MRT Station,401.7935689287453,5453.631872412087,2005-08,GEYLANG,3 ROOM,125,GEYLANG EAST AVE 1,10 TO 12,74.0,Model A,1984,218000.0,2005.0,78,
1.44428501569009,103.808741948979,734689.0,689D WOODLANDS DR 75,Admiralty MRT Station,954.5505275488448,18452.259848468053,2008-08,WOODLANDS,4 ROOM,689D,WOODLANDS DR 75,10 TO 12,90.0,Premium Apartment,2004,318000.0,2008.0,95,
1.32810291260758,103.932938099482,460409.0,409 BEDOK NTH AVE 2,Bedok Reservoir MRT Station,943.683263663462,10364.37110779177,1994-03,BEDOK,3 ROOM,409,BEDOK NTH AVE 2,01 TO 03,68.0,NEW GENERATION,1980,112800.0,1994.0,85,
1.36655830166122,103.841624082978,560215.0,215 ANG MO KIO AVE 1,Mayflower MRT Station,781.5309603827197,9301.987544474909,2003-04,ANG MO KIO,3 ROOM,215,ANG MO KIO AVE 1,01 TO 03,73.0,New Generation,1976,155000.0,2003.0,72,
1.43483127003663,103.835814475757,760225.0,225 YISHUN ST 21,Yishun MRT Station,602.5692176303928,16876.947021429365,1996-10,YISHUN,3 ROOM,225,YISHUN ST 21,04 TO 06,67.0,NEW GENERATION,1985,172000.0,1996.0,88,
1.36032921693367,103.956980572408,521488.0,488B TAMPINES ST 45,Tampines East MRT Station,526.7863099303062,14540.96605912463,2008-04,TAMPINES,4 ROOM,488B,TAMPINES ST 45,07 TO 09,106.0,Model A,1989,278000.0,2008.0,80,
1.31741204180126,103.767416985995,120378.0,378 CLEMENTI AVE 5,Clementi MRT Station,354.6669842054176,10081.121699450568,2003-03,CLEMENTI,3 ROOM,378,CLEMENTI AVE 5,04 TO 06,68.0,New Generation,1980,143000.0,2003.0,76,
1.33189327383579,103.917026960083,470613.0,613 BEDOK RESERVOIR RD,Bedok North MRT Station,332.3275939636421,9095.883122900155,2009-10,BEDOK,5 ROOM,613,BEDOK RESERVOIR RD,04 TO 06,121.0,Improved,1981,318000.0,2009.0,71,
1.29336074269525,103.809856966934,140056.0,56 STRATHMORE AVE,Queenstown MRT Station,440.763452459694,4752.412003058234,2010-07,QUEENSTOWN,4 ROOM,56,STRATHMORE AVE,01 TO 03,95.0,Model A,2002,566000.0,2010.0,91,
1.35125231918218,103.744795017835,650135.0,135 BT BATOK WEST AVE 6,Bukit Batok MRT Station,582.3039169507239,14051.687531209303,1990-01,BUKIT BATOK,4 ROOM,135,BT BATOK WEST AVE 6,10 TO 12,93.0,NEW GENERATION,1984,72000.0,1990.0,93,
1.35073333041497,103.746261338468,650131.0,131 BT BATOK WEST AVE 6,Bukit Batok MRT Station,411.0316820557105,13883.26936788009,2010-06,BUKIT BATOK,3 ROOM,131,BT BATOK WEST AVE 6,01 TO 03,73.0,Model A,1984,273000.0,2010.0,73,
1.37798469700849,103.766714651133,670107.0,107 GANGSA RD,Bukit Panjang MRT Station,594.8596987784448,14104.072657231054,1996-10,BUKIT PANJANG,EXECUTIVE,107,GANGSA RD,10 TO 12,146.0,MAISONETTE,1987,520000.0,1996.0,90,
1.33262715051315,103.928172121608,460554.0,554 BEDOK NTH ST 3,Bedok Reservoir MRT Station,630.9916028649977,10163.82938823908,1998-10,BEDOK,3 ROOM,554,BEDOK NTH ST 3,04 TO 06,68.0,NEW GENERATION,1980,158000.0,1998.0,81,
1.44657565754604,103.796861656857,730761.0,761 WOODLANDS AVE 6,Admiralty MRT Station,805.8501848897906,19075.01434800224,2005-08,WOODLANDS,5 ROOM,761,WOODLANDS AVE 6,04 TO 06,121.0,Improved,1998,265000.0,2005.0,92,
1.33396186689746,103.915599319144,470627.0,627 BEDOK RESERVOIR RD,Bedok North MRT Station,278.46157105274074,9108.3180837605,2016-04,BEDOK,4 ROOM,627,BEDOK RESERVOIR RD,07 TO 09,91.0,New Generation,1981,385000.0,2016.0,64,63.0
1.43068689542817,103.83657443377,760203.0,203 YISHUN ST 21,Yishun MRT Station,222.30171684034727,16412.484811033366,1998-07,YISHUN,3 ROOM,203,YISHUN ST 21,01 TO 03,67.0,NEW GENERATION,1985,141000.0,1998.0,86,
1.37449502119344,103.95736253025,510473.0,473 PASIR RIS DR 6,Pasir Ris MRT Station,916.0234987736932,15546.105003266248,2011-04,PASIR RIS,4 ROOM,473,PASIR RIS DR 6,10 TO 12,103.0,Model A,1989,408000.0,2011.0,77,
1.3527643658377,103.938706092437,525856.0,856E TAMPINES ST 82,Tampines MRT Station,802.1233925098451,12414.98412910729,2004-06,TAMPINES,EXECUTIVE,856E,TAMPINES ST 82,07 TO 09,149.0,Apartment,1995,445000.0,2004.0,90,
1.31984417513752,103.859462494536,324108.0,108C MCNAIR RD,Boon Keng MRT Station,254.4058816053527,4174.087525837959,2010-11,KALLANG/WHAMPOA,4 ROOM,108C,MCNAIR RD,04 TO 06,95.0,Model A,2005,548000.0,2010.0,94,
1.36033535045203,103.951074250695,520439.0,439 TAMPINES ST 43,Tampines East MRT Station,605.7532454767015,14015.053821586913,2001-12,TAMPINES,4 ROOM,439,TAMPINES ST 43,01 TO 03,89.0,Simplified,1987,205000.0,2001.0,85,
1.37004739686133,103.844594754874,560120.0,120 ANG MO KIO AVE 3,Ang Mo Kio MRT Station,552.5044587842982,9654.138003648712,1993-08,ANG MO KIO,3 ROOM,120,ANG MO KIO AVE 3,04 TO 06,82.0,NEW GENERATION,1978,107000.0,1993.0,84,
1.34113803607795,103.850126597142,310201.0,201 TOA PAYOH NTH,Braddell MRT Station,377.6335081220144,6429.931318882112,2004-01,TOA PAYOH,4 ROOM,201,TOA PAYOH NTH,07 TO 09,87.0,Improved,1973,238000.0,2004.0,68,
1.27590520131404,103.842741240941,81004.0,4 TG PAGAR PLAZA,Tanjong Pagar MRT Station,370.7400021209861,1233.9958199780604,2011-08,CENTRAL AREA,3 ROOM,4,TG PAGAR PLAZA,07 TO 09,59.0,Improved,1977,398000.0,2011.0,65,
1.40000866051722,103.744352713589,680612.0,612 CHOA CHU KANG ST 62,Yew Tee MRT Station,441.3798768945837,17580.01376159009,2000-03,CHOA CHU KANG,5 ROOM,612,CHOA CHU KANG ST 62,04 TO 06,134.0,Model A,1996,390000.0,2000.0,95,
1.35625515528677,103.749711847322,650532.0,532 BT BATOK ST 51,Bukit Gombak MRT Station,361.7948515329522,13908.024276094757,1999-11,BUKIT BATOK,4 ROOM,532,BT BATOK ST 51,01 TO 03,83.0,SIMPLIFIED,1986,192000.0,1999.0,86,
1.372858509,103.8996487,530357.0,357 HOUGANG AVE 7,Hougang MRT Station,827.1886175,11299.469106343531,2013-08,HOUGANG,EXECUTIVE,357,HOUGANG AVE 7,04 TO 06,148.0,Maisonette,1985,640000.0,,71,
1.430866568,103.8394259,760305.0,305 YISHUN CTRL,Yishun MRT Station,516.5367781919722,16403.64473119183,2014-09,YISHUN,4 ROOM,305,YISHUN CTRL,04 TO 06,108.0,Model A,1988,395000.0,,73,
1.37911514056099,103.895119125321,530448.0,448 HOUGANG AVE 10,Buangkok MRT Station,470.91008247075473,11693.33347415188,1995-10,HOUGANG,4 ROOM,448,HOUGANG AVE 10,01 TO 03,105.0,MODEL A,1990,218000.0,1995.0,94,
1.35295678900579,103.963067447216,520351.0,351 TAMPINES ST 33,Tampines East MRT Station,1004.3430161747922,14647.75645379326,2010-08,TAMPINES,4 ROOM,351,TAMPINES ST 33,01 TO 03,106.0,Model A,1996,355000.0,2010.0,85,
1.33270278688381,103.923456730636,460535.0,535 BEDOK NTH ST 3,Bedok North MRT Station,650.0537661277083,9730.95832142545,1999-07,BEDOK,3 ROOM,535,BEDOK NTH ST 3,07 TO 09,69.0,IMPROVED,1986,150000.0,1999.0,86,
1.35477615386172,103.933979626979,520868.0,868 TAMPINES ST 83,Tampines MRT Station,1137.839824836932,12151.401951498025,2001-09,TAMPINES,4 ROOM,868,TAMPINES ST 83,04 TO 06,104.0,Model A,1989,240000.0,2001.0,87,
1.3310525697305,103.904387017176,410636.0,636 BEDOK RESERVOIR RD,Ubi MRT Station,586.5419753183244,7945.932048787206,2000-01,BEDOK,EXECUTIVE,636,BEDOK RESERVOIR RD,13 TO 15,145.0,Apartment,1993,536000.0,2000.0,92,
1.34207524231502,103.694306358693,640708.0,708 JURONG WEST ST 71,Pioneer MRT Station,599.0853468996487,18653.07715934628,1999-10,JURONG WEST,EXECUTIVE,708,JURONG WEST ST 71,13 TO 15,149.0,APARTMENT,1993,431000.0,1999.0,93,
1.37962686332574,103.940582032379,510627.0,627 PASIR RIS DR 3,Pasir Ris MRT Station,1212.1909630238918,14590.612498892324,2010-09,PASIR RIS,4 ROOM,627,PASIR RIS DR 3,10 TO 12,104.0,Model A,1995,336000.0,2010.0,84,
1.32105185036523,103.766910446634,120308.0,308 CLEMENTI AVE 4,Clementi MRT Station,683.6408066800932,10291.233088636058,1997-06,CLEMENTI,3 ROOM,308,CLEMENTI AVE 4,07 TO 09,67.0,NEW GENERATION,1980,208000.0,1997.0,82,
1.32278920327274,103.856444472629,320085.0,85 WHAMPOA DR,Boon Keng MRT Station,668.7103752659563,4436.780782930034,1994-05,KALLANG/WHAMPOA,3 ROOM,85,WHAMPOA DR,10 TO 12,65.0,IMPROVED,1974,85000.0,1994.0,79,
1.35937035,103.8925875,530248.0,248 HOUGANG AVE 3,Kovan MRT Station,841.9516492525846,9613.793443517216,2013-09,HOUGANG,3 ROOM,248,HOUGANG AVE 3,07 TO 09,67.0,New Generation,1984,350000.0,,70,
1.36215691970023,103.744946718558,650423.0,423 BT BATOK WEST AVE 2,Bukit Gombak MRT Station,866.2417513648744,14720.842686207228,2001-03,BUKIT BATOK,3 ROOM,423,BT BATOK WEST AVE 2,10 TO 12,68.0,New Generation,1988,130000.0,2001.0,86,
1.28821320112553,103.833233526093,160094.0,94 HAVELOCK RD,Tiong Bahru MRT Station,728.8756632861086,2091.6495635481074,1993-11,BUKIT MERAH,5 ROOM,94,HAVELOCK RD,13 TO 15,118.0,IMPROVED,1983,305000.0,1993.0,89,
1.36620554681345,103.895152424666,530309.0,309 HOUGANG AVE 5,Hougang MRT Station,641.5024141564548,10414.691337802004,2010-10,HOUGANG,4 ROOM,309,HOUGANG AVE 5,07 TO 09,93.0,New Generation,1982,327000.0,2010.0,71,
1.45329835117102,103.816138602463,750405.0,405 ADMIRALTY LINK,Sembawang MRT Station,640.0639938982146,19232.994325293108,2011-07,SEMBAWANG,4 ROOM,405,ADMIRALTY LINK,10 TO 12,90.0,Model A2,2001,380000.0,2011.0,89,
1.3184700954521,103.764526086951,120316.0,316 CLEMENTI AVE 4,Clementi MRT Station,378.17119902988446,10423.220152551075,1999-02,CLEMENTI,4 ROOM,316,CLEMENTI AVE 4,01 TO 03,91.0,NEW GENERATION,1979,238000.0,1999.0,79,
,,,169 BOON LAY DR,,,,2004-05,JURONG WEST,3 ROOM,169,BOON LAY DR,07 TO 09,70.0,Improved,1974,153000.0,2004.0,69,
1.44682318326801,103.796542079788,730760.0,760 WOODLANDS AVE 6,Admiralty MRT Station,848.72224747172,19112.27933515178,2010-05,WOODLANDS,5 ROOM,760,WOODLANDS AVE 6,04 TO 06,121.0,Improved,1998,362100.0,2010.0,87,
1.32877022232019,103.909381354431,470103.0,103 BEDOK RESERVOIR RD,Kaki Bukit MRT Station,696.3846544838821,8209.526457092921,1990-03,BEDOK,4 ROOM,103,BEDOK RESERVOIR RD,01 TO 03,96.0,NEW GENERATION,1985,80000.0,1990.0,94,
1.28357870505897,103.823819207962,150129.0,129 BT MERAH VIEW,Tiong Bahru MRT Station,457.05020941347647,3059.0549830030263,2006-07,BUKIT MERAH,3 ROOM,129,BT MERAH VIEW,04 TO 06,76.0,Improved,1973,233000.0,2006.0,66,
1.37856756097104,103.770647361863,670237.0,237 BT PANJANG RING RD,Bukit Panjang MRT Station,1028.4742076725254,13864.861772280668,1999-11,BUKIT PANJANG,4 ROOM,237,BT PANJANG RING RD,04 TO 06,86.0,SIMPLIFIED,1988,188000.0,1999.0,88,
1.41454077208263,103.833346442271,760829.0,829 YISHUN ST 81,Khatib MRT Station,316.9557973603464,14681.697846283472,1998-12,YISHUN,4 ROOM,829,YISHUN ST 81,04 TO 06,103.0,MODEL A,1988,234000.0,1998.0,89,
1.34860420057258,103.931922138374,520894.0,894 TAMPINES ST 81,Tampines MRT Station,801.4524519527037,11538.11832571182,1997-11,TAMPINES,EXECUTIVE,894,TAMPINES ST 81,04 TO 06,149.0,MAISONETTE,1989,565000.0,1997.0,91,
1.32791477933184,103.942144427101,460075.0,75 BEDOK NTH RD,Tanah Merah MRT Station,483.98308437408747,11264.1318458283,2008-06,BEDOK,3 ROOM,75,BEDOK NTH RD,10 TO 12,59.0,Improved,1978,225000.0,2008.0,69,
1.43045950870745,103.782003060129,730336.0,336 WOODLANDS AVE 1,Woodlands MRT Station,905.2668012630336,18037.1183656042,1997-07,WOODLANDS,4 ROOM,336,WOODLANDS AVE 1,07 TO 09,83.0,SIMPLIFIED,1985,228000.0,1997.0,87,
1.37482523313127,103.870146844732,550546.0,546 SERANGOON NTH AVE 3,Kovan MRT Station,2319.2644840415915,10367.940599306055,2007-01,SERANGOON,5 ROOM,546,SERANGOON NTH AVE 3,01 TO 03,121.0,Improved,1998,290000.0,2007.0,90,
1.35106550496497,103.718527803659,640455.0,455 JURONG WEST ST 42,Lakeside MRT Station,799.4000041127393,16582.622891337243,1996-11,JURONG WEST,4 ROOM,455,JURONG WEST ST 42,01 TO 03,107.0,MODEL A,1985,340000.0,1996.0,88,
1.29871092283081,103.798579967767,142043.0,43 TANGLIN HALT RD,Commonwealth MRT Station,421.01841453283686,6119.072042033293,1994-02,QUEENSTOWN,2 ROOM,43,TANGLIN HALT RD,01 TO 03,46.0,STANDARD,1971,46000.0,1994.0,76,
1.33887088246403,103.736218506114,600110.0,110 JURONG EAST ST 13,Chinese Garden MRT Station,535.5115260984924,14219.642422632332,2003-05,JURONG EAST,3 ROOM,110,JURONG EAST ST 13,07 TO 09,68.0,New Generation,1982,155500.0,2003.0,78,
1.34793607242033,103.956339808271,520136.0,136 SIMEI ST 1,Simei MRT Station,619.1083751370568,13718.994494184208,2008-02,TAMPINES,4 ROOM,136,SIMEI ST 1,01 TO 03,84.0,Simplified,1988,273000.0,2008.0,79,
1.34509373607501,103.708033296536,640260.0,260 BOON LAY DR,Boon Lay MRT Station,763.1423985853686,17359.719494206263,2002-09,JURONG WEST,5 ROOM,260,BOON LAY DR,13 TO 15,132.0,Model A,1995,300000.0,2002.0,92,
1.36294455374689,103.834093500169,570406.0,406 SIN MING AVE,Upper Thomson MRT Station,952.3280365562994,9044.887157897969,1993-08,BISHAN,4 ROOM,406,SIN MING AVE,07 TO 09,89.0,SIMPLIFIED,1987,136000.0,1993.0,93,
1.42284296540435,103.848313795012,760423.0,423 YISHUN AVE 11,Yishun MRT Station,1651.114663575956,15466.69204947831,1999-07,YISHUN,4 ROOM,423,YISHUN AVE 11,01 TO 03,104.0,MODEL A,1988,227000.0,1999.0,88,
1.3477511871809,103.854258267311,570173.0,173 BISHAN ST 13,Bishan MRT Station,692.6592888812606,7167.418827773638,1991-11,BISHAN,5 ROOM,173,BISHAN ST 13,13 TO 15,121.0,IMPROVED,1987,140000.0,1991.0,95,
1.33036165,103.935081,460113.0,113 BEDOK NTH ST 2,Bedok Reservoir MRT Station,759.8496329729517,10694.118608498928,2012-10,BEDOK,2 ROOM,113,BEDOK NTH ST 2,04 TO 06,44.0,Improved,1978,285000.0,,65,
1.36463198995611,103.961001795019,510182.0,182 PASIR RIS ST 11,Tampines East MRT Station,1171.8327938733785,15183.192022953575,2011-11,PASIR RIS,5 ROOM,182,PASIR RIS ST 11,07 TO 09,123.0,Improved,1993,450000.0,2011.0,81,
1.35720575037063,103.87083128115,550224.0,224 SERANGOON AVE 4,Serangoon MRT Station,758.1180730727696,8488.31574052545,2000-05,SERANGOON,4 ROOM,224,SERANGOON AVE 4,01 TO 03,91.0,New Generation,1984,262000.0,2000.0,83,
1.32357483276513,103.857034858444,320083.0,83 WHAMPOA DR,Boon Keng MRT Station,660.4335997939731,4531.72509307852,1999-08,KALLANG/WHAMPOA,4 ROOM,83,WHAMPOA DR,16 TO 18,91.0,IMPROVED,1974,240000.0,1999.0,74,
1.37437689393173,103.882874917484,530662.0,662 HOUGANG AVE 4,Hougang MRT Station,1111.484278878669,10697.594583962142,2000-11,HOUGANG,4 ROOM,662,HOUGANG AVE 4,10 TO 12,107.0,Model A,1987,304000.0,2000.0,86,
1.33065454769523,103.938496275607,460117.0,117 BEDOK NTH RD,Bedok Reservoir MRT Station,958.6166518858444,11042.499391669817,1991-12,BEDOK,3 ROOM,117,BEDOK NTH RD,04 TO 06,88.0,NEW GENERATION,1978,57000.0,1991.0,86,
1.36708983179046,103.845660199054,560302.0,302 ANG MO KIO AVE 3,Ang Mo Kio MRT Station,535.7226110566288,9319.382183602213,2006-11,ANG MO KIO,3 ROOM,302,ANG MO KIO AVE 3,07 TO 09,73.0,New Generation,1978,203000.0,2006.0,71,
1.27721730057752,103.838703998309,80003.0,3 EVERTON PK,Outram Park MRT Station,293.1043996154104,1540.777292480589,1996-10,BUKIT MERAH,3 ROOM,3,EVERTON PK,01 TO 03,82.0,NEW GENERATION,1980,195000.0,1996.0,83,
1.318286638,103.9454818,460156.0,156 BEDOK STH AVE 3,Tanah Merah MRT Station,1003.687336005249,11184.261376223109,2012-06,BEDOK,5 ROOM,156,BEDOK STH AVE 3,04 TO 06,122.0,Improved,1985,575000.0,,72,
1.348710101,103.9309634,521891.0,891A TAMPINES AVE 8,Tampines MRT Station,903.6420749,11462.758405692412,2013-02,TAMPINES,4 ROOM,891A,TAMPINES AVE 8,13 TO 15,100.0,Model A,1997,490000.0,,83,
1.32226013692281,103.86662310263,330044.0,44 BENDEMEER RD,Geylang Bahru MRT Station,566.4129791149793,4664.118312406042,1999-07,KALLANG/WHAMPOA,3 ROOM,44,BENDEMEER RD,07 TO 09,63.0,STANDARD,1981,126000.0,1999.0,81,
1.419709567,103.8334482,760796.0,796 YISHUN RING RD,Khatib MRT Station,262.44604001237497,15246.637760288671,2013-08,YISHUN,4 ROOM,796,YISHUN RING RD,13 TO 15,83.0,Simplified,1987,426488.0,,73,
1.36120673062964,103.746929231219,650320.0,320 BT BATOK ST 33,Bukit Gombak MRT Station,621.9258711519293,14481.051528935324,1997-09,BUKIT BATOK,3 ROOM,320,BT BATOK ST 33,01 TO 03,70.0,SIMPLIFIED,1987,153000.0,1997.0,89,
1.33030163704738,103.931086166936,460413.0,413 BEDOK NTH AVE 2,Bedok Reservoir MRT Station,708.9231270790124,10305.41688134009,1994-09,BEDOK,5 ROOM,413,BEDOK NTH AVE 2,25 TO 27,119.0,IMPROVED,1979,303000.0,1994.0,84,
1.41893026318493,103.83910011003,760634.0,634 YISHUN ST 61,Khatib MRT Station,702.2403486947146,15091.671119867668,2010-01,YISHUN,4 ROOM,634,YISHUN ST 61,04 TO 06,84.0,Simplified,1987,288000.0,2010.0,76,
1.37273696913231,103.850194854525,560513.0,513 ANG MO KIO AVE 8,Ang Mo Kio MRT Station,318.06000666013045,9923.416114873287,2000-06,ANG MO KIO,4 ROOM,513,ANG MO KIO AVE 8,04 TO 06,93.0,New Generation,1984,247500.0,2000.0,83,
1.34532332600273,103.856581140233,570156.0,156 BISHAN ST 13,Bishan MRT Station,1060.5607594035068,6916.410677479677,1998-05,BISHAN,5 ROOM,156,BISHAN ST 13,13 TO 15,121.0,IMPROVED,1988,500000.0,1998.0,89,
1.366528335,103.954405,510122.0,122 PASIR RIS ST 11,Pasir Ris MRT Station,916.8194622841434,14729.949081952864,2012-11,PASIR RIS,4 ROOM,122,PASIR RIS ST 11,04 TO 06,113.0,Model A,1989,495000.0,,76,
1.33675035701881,103.851794384284,310059.0,59 LOR 5 TOA PAYOH,Toa Payoh MRT Station,656.6617332631272,5943.692659139076,2016-11,TOA PAYOH,3 ROOM,59,LOR 5 TOA PAYOH,07 TO 09,61.0,Standard,1973,280000.0,2016.0,56,55.0
1.36778671687043,103.895530258805,530304.0,304 HOUGANG AVE 5,Hougang MRT Station,522.6127302485744,10588.942964956512,2009-08,HOUGANG,3 ROOM,304,HOUGANG AVE 5,07 TO 09,74.0,Model A,1983,266000.0,2009.0,73,
1.34681988418358,103.850614135416,570122.0,122 BISHAN ST 12,Bishan MRT Station,523.4960048362826,7057.28759625142,2000-01,BISHAN,4 ROOM,122,BISHAN ST 12,07 TO 09,84.0,Simplified,1986,315000.0,2000.0,85,
1.43413792566359,103.827020312888,760114.0,114 YISHUN RING RD,Yishun MRT Station,1029.1131774584665,16929.08870059258,1996-03,YISHUN,3 ROOM,114,YISHUN RING RD,01 TO 03,74.0,MODEL A,1983,145000.0,1996.0,86,
1.36418010991491,103.958735554564,510141.0,141 PASIR RIS ST 11,Tampines East MRT Station,994.2820712059648,14951.09019787994,2001-12,PASIR RIS,5 ROOM,141,PASIR RIS ST 11,01 TO 03,135.0,Model A,1995,320000.0,2001.0,93,
1.43422889283755,103.838543994351,760235.0,235 YISHUN ST 21,Yishun MRT Station,659.6559720064996,16782.26864947006,1995-10,YISHUN,3 ROOM,235,YISHUN ST 21,07 TO 09,67.0,NEW GENERATION,1985,133000.0,1995.0,89,
1.33197886752323,103.910623668728,470122.0,122 BEDOK RESERVOIR RD,Kaki Bukit MRT Station,395.9100098066361,8539.31544508694,2007-04,BEDOK,4 ROOM,122,BEDOK RESERVOIR RD,01 TO 03,84.0,Simplified,1987,188000.0,2007.0,79,
1.33426946144275,103.926542284602,460529.0,529 BEDOK NTH ST 3,Bedok Reservoir MRT Station,684.2328161576661,10112.30656724859,1999-03,BEDOK,3 ROOM,529,BEDOK NTH ST 3,01 TO 03,68.0,NEW GENERATION,1979,133000.0,1999.0,79,
1.38788229920987,103.898019126927,541224.0,224A COMPASSVALE WALK,Sengkang MRT Station,507.20245781984585,12709.5107975412,2003-06,SENGKANG,5 ROOM,224A,COMPASSVALE WALK,01 TO 03,123.0,Improved,1999,305000.0,2003.0,95,
1.34953667920762,103.952988196976,520286.0,286 TAMPINES ST 22,Simei MRT Station,702.3362533874877,13498.225670804368,2000-04,TAMPINES,4 ROOM,286,TAMPINES ST 22,01 TO 03,105.0,Model A,1984,280000.0,2000.0,83,
1.32591889655628,103.91975686812,460058.0,58 CHAI CHEE DR,Kembangan MRT Station,930.3091865433938,8975.831260610606,2015-07,BEDOK,3 ROOM,58,CHAI CHEE DR,07 TO 09,80.0,Model A,1983,342000.0,2015.0,67,67.0
1.33383104148884,103.90708968723,410657.0,657 JLN TENAGA,Kaki Bukit MRT Station,230.3182547234289,8375.059184753736,2001-02,BEDOK,4 ROOM,657,JLN TENAGA,04 TO 06,106.0,Model A,1996,267000.0,2001.0,94,
1.32504567583472,103.854762707954,320077.0,77 LOR LIMAU,Boon Keng MRT Station,960.3941054399612,4665.138396987384,1998-09,KALLANG/WHAMPOA,3 ROOM,77,LOR LIMAU,01 TO 03,59.0,IMPROVED,1973,135000.0,1998.0,74,
1.34032757892166,103.698247310085,640623.0,623 JURONG WEST ST 61,Pioneer MRT Station,320.0707278319496,18174.611605576072,2009-10,JURONG WEST,4 ROOM,623,JURONG WEST ST 61,01 TO 03,91.0,Model A,2001,313000.0,2009.0,91,
1.35326407704511,103.948114820428,521253.0,253 TAMPINES ST 21,Tampines East MRT Station,794.4935154880023,13283.63603473296,1994-11,TAMPINES,4 ROOM,253,TAMPINES ST 21,07 TO 09,104.0,MODEL A,1984,210000.0,1994.0,89,
1.332696519,103.907743,410652.0,652 JLN TENAGA,Kaki Bukit MRT Station,283.33854299646003,8345.975416791613,2013-03,BEDOK,5 ROOM,652,JLN TENAGA,01 TO 03,126.0,Improved,1996,595000.0,,82,
1.36192324092535,103.842999164881,570254.0,254 BISHAN ST 22,Ang Mo Kio MRT Station,1147.6911494493309,8775.685724273664,1996-03,BISHAN,5 ROOM,254,BISHAN ST 22,04 TO 06,133.0,MODEL A,1992,480000.0,1996.0,95,
1.34775337100719,103.697968713143,640748.0,748 JURONG WEST ST 73,Pioneer MRT Station,1126.4484849906328,18505.594420968413,1998-07,JURONG WEST,4 ROOM,748,JURONG WEST ST 73,01 TO 03,104.0,MODEL A,1990,233000.0,1998.0,91,
1.36249895422368,103.955251289212,524491.0,491E TAMPINES ST 45,Tampines East MRT Station,700.8180836887293,14529.630721091527,1998-07,TAMPINES,5 ROOM,491E,TAMPINES ST 45,07 TO 09,124.0,IMPROVED,1993,367000.0,1998.0,94,
1.32372379609506,103.862995082822,320009.0,9 ST. GEORGE'S RD,Boon Keng MRT Station,440.5136280477377,4687.356000302105,2000-10,KALLANG/WHAMPOA,4 ROOM,9,ST. GEORGE'S RD,10 TO 12,104.0,Model A,1985,300000.0,2000.0,84,
1.37132342766086,103.874085635267,550517.0,517 SERANGOON NTH AVE 4,Kovan MRT Station,1735.3487285178712,10090.190947728252,2000-10,SERANGOON,4 ROOM,517,SERANGOON NTH AVE 4,10 TO 12,104.0,Model A,1992,292000.0,2000.0,91,
1.34607046577403,103.735252691468,600306.0,306 JURONG EAST ST 32,Chinese Garden MRT Station,505.4533203227592,14677.62614258073,2010-03,JURONG EAST,3 ROOM,306,JURONG EAST ST 32,07 TO 09,89.0,New Generation,1983,293000.0,2010.0,72,
1.37400071781295,103.83643153142,560170.0,170 ANG MO KIO AVE 4,Mayflower MRT Station,280.9964224478382,10197.539329168232,1991-10,ANG MO KIO,2 ROOM,170,ANG MO KIO AVE 4,10 TO 12,45.0,IMPROVED,1986,22200.0,1991.0,94,
1.35153277057069,103.93280546659,520884.0,884 TAMPINES ST 83,Tampines MRT Station,914.0645089285076,11819.682018841268,2000-06,TAMPINES,4 ROOM,884,TAMPINES ST 83,10 TO 12,103.0,Model A,1988,285000.0,2000.0,87,
1.396007992,103.9107647,824173.0,173D PUNGGOL FIELD,Sengkang MRT Station,1766.0830126292965,14140.055749440238,2014-03,PUNGGOL,5 ROOM,173D,PUNGGOL FIELD,10 TO 12,110.0,Improved,2003,500000.0,,88,
1.39288807322396,103.906920778538,542185.0,185B RIVERVALE CRES,Sengkang MRT Station,1279.509223566423,13636.69693113176,2016-10,SENGKANG,4 ROOM,185B,RIVERVALE CRES,13 TO 15,85.0,Model A2,2000,356000.0,2016.0,83,83.0
1.35941996844392,103.847150338684,570237.0,237 BISHAN ST 22,Bishan MRT Station,923.0759624129166,8462.737966215178,1998-02,BISHAN,4 ROOM,237,BISHAN ST 22,04 TO 06,114.0,MODEL A,1992,398000.0,1998.0,93,
1.35478633435811,103.722563908677,640408.0,408 JURONG WEST ST 42,Lakeside MRT Station,1177.8368620472395,16379.037294694668,2000-04,JURONG WEST,5 ROOM,408,JURONG WEST ST 42,10 TO 12,139.0,Model A-Maisonette,1984,357000.0,2000.0,83,
1.34667192602747,103.749383473832,650206.0,206 BT BATOK ST 21,Bukit Batok MRT Station,250.231464828642,13349.803246242294,2000-02,BUKIT BATOK,4 ROOM,206,BT BATOK ST 21,07 TO 09,104.0,Model A,1983,274000.0,2000.0,82,
1.34902777063214,103.939568394541,520914.0,914 TAMPINES ST 91,Tampines MRT Station,408.2911781079825,12239.45694163341,2006-08,TAMPINES,4 ROOM,914,TAMPINES ST 91,04 TO 06,104.0,Model A,1984,240000.0,2006.0,77,
1.34227184051501,103.7066119699,640692.0,692 JURONG WEST CTRL 1,Boon Lay MRT Station,420.9385561008351,17385.10392017413,2010-03,JURONG WEST,4 ROOM,692,JURONG WEST CTRL 1,01 TO 03,104.0,Premium Apartment,1998,395000.0,2010.0,87,
